Word	Count
what	23
are	24
the	119
primary	2
differences	1
between	3
rules	3
of	65
dd	5
35	12
and	55
pathfinder	2
some	10
rule	14
changes	4
that	35
brings	1
in	52
comparison	1
to	71
dampd	8
i	42
am	5
curious	1
were	4
made	1
so	5
can	26
explain	1
my	9
group	3
it	18
has	7
offer	1
is	25
a	82
fumble	1
on	12
natural	2
1	14
an	21
official	7
currently	1
player	2
game	11
where	3
rolling	1
any	8
attack	4
roll	3
not	18
only	8
automatic	3
miss	2
but	12
also	10
means	1
something	6
bad	2
happens	1
–	1
such	3
as	19
dropping	1
your	11
sword	1
falling	1
over	1
prone	1
etc	5
dm	4
insists	1
this	14
part	1
core	2
find	5
reference	1
anywhere	1
epic	3
failure	3
actual	1
or	14
just	9
house	5
forgot	1
was	7
most	3
beginner	2
friendly	2
table	5
top	1
role	2
playing	6
games	4
many	6
rpgs	1
extremely	1
complex	2
hard	1
for	30
first	2
time	5
gamers	2
get	11
into	10
others	2
assume	1
even	1
point	5
saying	1
their	3
introduction	1
they	15
people	2
who	4
already	1
know	5
roleplaying	2
organized	2
more	2
like	8
encyclopedia	1
options	4
instead	3
walking	1
prospective	1
players	17
through	4
steps	1
needed	2
started	2
these	3
intimidate	1
turn	3
off	3
new	3
trying	2
learn	1
hobby	2
obviously	1
using	2
variety	1
usually	3
because	1
someone	4
experienced	2
will	4
help	1
them	9
learning	1
curve	1
however	3
im	4
interested	1
specifically	1
have	26
stated	1
goal	2
andor	1
do	7
really	2
good	9
job	1
being	5
someones	1
rpg	3
please	1
answer	1
keeping	2
mind	1
site	1
guidelines	1
systemrecommendation	1
questions	2
full	2
list	2
settings	4
wizards	3
coast	2
tsr	2
campaign	5
ones	3
hand	1
following	2
would	5
be	15
edition	5
initially	1
if	15
no	5
longer	2
updated	1
forgotten	3
realms	3
dragonlance	2
eberron	2
greyhawk	4
characters	4
dogs	2
vineyard	2
different	3
escalation	2
levels	2
conflict	2
example	1
npc	3
escalates	1
gunfight	2
pc	1
does	5
want	6
shoot	1
him	4
tries	1
resolve	1
situation	1
by	10
talking	3
while	5
evading	1
shots	1
he	3
escalate	3
dice	10
acuitywill	1
consequently	1
still	1
inflict	2
fallout	4
desert	3
random	6
encounter	6
tables	4
about	5
enter	1
bright	1
id	2
use	9
desertspecific	1
—	1
anyone	3
anything	3
suitable	1
irrelevant	2
since	2
always	5
convert	1
system	7
pretty	1
although	1
probably	3
fantasy	1
how	8
we	3
optimize	1
monk	3
especially	2
offense	1
complaints	1
from	13
one	14
groups	3
isnt	3
offensive	1
defense	2
disarming	1
defenestration	1
wasnt	1
mentioned	1
experience	1
been	8
with	21
party	4
she	1
constantly	2
fought	1
defensively	1
make	3
character	7
brokenly	1
seeking	1
name	3
abstract	2
cardbased	1
looking	3
small	1
indie	1
came	3
across	2
ago	1
used	3
tarotlike	1
cards	2
when	6
decided	2
then	3
drawn	1
results	3
interpreted	1
remember	2
dealing	2
lot	2
concepts	1
archtypes	1
direct	1
me	1
particular	2
tools	4
strategies	3
you	18
found	4
useful	1
all	4
same	5
physical	1
space	1
having	1
recently	1
moved	1
way	4
us	2
effective	1
ways	3
continue	1
roleplayers	1
previous	1
home	1
skype	1
mapping	1
applications	1
techincal	1
sound	1
lighting	1
gameoriented	1
helped	1
ease	1
strangeness	1
without	1
everyone	1
at	10
advantage	1
normal	3
multiclassing	8
dd4	1
featbased	1
beneficial	2
4e	7
there	5
better	3
achieve	1
design	2
facets	1
two	10
classes	4
encounters	4
dark	2
sun	2
season	2
ive	7
stepped	1
up	11
run	5
local	1
dont	5
adventure	1
chapters	1
amp	1
2	6
happened	1
story	1
until	3
now	2
podcasts	2
aside	1
private	1
sanctuary	1
other	4
regularly	2
cover	1
d20	1
monster	2
complement	2
fire	2
beetles	2
writing	1
sewer	1
need	2
level	6
current	3
dms	1
deal	2
loot	5
released	1
fan	1
except	1
loved	1
allowed	2
surprised	2
awesome	2
again	1
equally	1
awful	1
least	2
could	2
sell	1
varying	2
giving	3
items	6
upgrades	1
rewards	1
parcels	1
whenever	1
possible	1
come	2
background	1
ability	2
thought	1
useless	1
entertaining	1
sessions	2
understand	1
40	2
require	3
certain	3
amount	1
magic	4
successful	2
give	4
feel	3
allow	1
fun	3
creative	1
adjudicate	1
chase	2
generally	1
pcs	5
fight	1
monsters	3
free	1
let	2
escape	2
automatically	1
1e0e	1
course	3
linger	1
around	2
may	2
back	2
later	1
read	1
3e4e	1
retreating	2
enemy	1
speed	2
suicide	1
able	1
match	1
end	1
adjacent	1
see	2
link	1
below	1
middle	1
ground	1
thinking	1
perhaps	2
which	2
rolled	2
every	3
round	1
person	1
chased	1
either	2
gets	2
away	3
hit	3
reengages	1
melee	1
ideas	1
