Word	Count
players	17
rule	14
1	14
one	14
35	12
game	11
get	11
also	10
dice	10
two	10
setting	10
good	9
use	9
dampd	8
like	8
multiclassing	8
class	8
official	7
system	7
character	7
4e	7
ive	7
something	6
playing	6
many	6
want	6
random	6
encounter	6
2	6
level	6
items	6
dd	5
etc	5
find	5
house	5
table	5
time	5
point	5
know	5
campaign	5
would	5
edition	5
always	5
run	5
dont	5
loot	5
pcs	5
spirit	5
wotc	5
world	5
changes	4
attack	4
dm	4
games	4
options	4
someone	4
im	4
settings	4
greyhawk	4
characters	4
fallout	4
tables	4
party	4
tools	4
found	4
way	4
classes	4
encounters	4
magic	4
give	4
fudge	4
sides	4
combat	4
favored	4
0	4
often	4
published	4
rules	3
group	3
roll	3
automatic	3
epic	3
failure	3
instead	3
turn	3
new	3
usually	3
however	3
rpg	3
wizards	3
ones	3
forgotten	3
realms	3
different	3
npc	3
talking	3
escalate	3
desert	3
anyone	3
anything	3
probably	3
monk	3
groups	3
isnt	3
make	3
name	3
looking	3
came	3
used	3
results	3
strategies	3
ways	3
normal	3
better	3
current	3
giving	3
require	3
certain	3
feel	3
fun	3
monsters	3
course	3
every	3
away	3
hit	3
best	3
added	3
4	3
hero	3
guide	3
choose	3
powers	3
youre	3
dragon	3
magazine	3
think	3
33	3
primary	2
pathfinder	2
natural	2
player	2
miss	2
bad	2
core	2
beginner	2
friendly	2
role	2
complex	2
first	2
gamers	2
others	2
people	2
roleplaying	2
organized	2
needed	2
started	2
trying	2
hobby	2
using	2
experienced	2
goal	2
really	2
keeping	2
questions	2
full	2
list	2
coast	2
tsr	2
following	2
longer	2
dragonlance	2
eberron	2
dogs	2
vineyard	2
escalation	2
levels	2
conflict	2
gunfight	2
inflict	2
id	2
irrelevant	2
since	2
especially	2
defense	2
constantly	2
abstract	2
across	2
cards	2
decided	2
remember	2
dealing	2
lot	2
particular	2
us	2
beneficial	2
design	2
dark	2
sun	2
season	2
podcasts	2
regularly	2
monster	2
complement	2
fire	2
beetles	2
need	2
deal	2
allowed	2
surprised	2
awesome	2
least	2
could	2
varying	2
come	2
ability	2
sessions	2
40	2
successful	2
chase	2
let	2
escape	2
around	2
may	2
back	2
retreating	2
speed	2
see	2
perhaps	2
rolled	2
either	2
gets	2
six	2
blank	2
number	2
slowly	2
properties	2
shaman	2
places	2
web	2
advertise	2
set	2
handle	2
power	2
xp	2
skill	2
theres	2
opposed	2
typically	2
gain	2
extra	2
bonus	2
feats	2
actually	2
sort	2
maneuver	2
recall	2
bards	2
multiclass	2
counting	2
order	2
dungeon	2
got	2
support	2
mostly	2
showed	2
mystara	2
basic	2
ravnica	2
gathering	2
wildemount	2
critical	2
theros	2
blackmoor	2
12	2
34	2
56	2
sign	2
particularly	2
dangerous	2
differences	1
brings	1
comparison	1
curious	1
made	1
explain	1
offer	1
fumble	1
currently	1
rolling	1
means	1
happens	1
–	1
dropping	1
sword	1
falling	1
prone	1
insists	1
part	1
reference	1
anywhere	1
actual	1
forgot	1
top	1
rpgs	1
extremely	1
hard	1
assume	1
even	1
saying	1
introduction	1
already	1
encyclopedia	1
walking	1
prospective	1
steps	1
intimidate	1
learn	1
obviously	1
variety	1
help	1
learning	1
curve	1
interested	1
specifically	1
stated	1
andor	1
job	1
someones	1
please	1
answer	1
mind	1
site	1
guidelines	1
systemrecommendation	1
hand	1
initially	1
updated	1
example	1
escalates	1
pc	1
shoot	1
tries	1
resolve	1
situation	1
evading	1
shots	1
acuitywill	1
consequently	1
still	1
enter	1
bright	1
desertspecific	1
—	1
suitable	1
convert	1
pretty	1
although	1
fantasy	1
optimize	1
offense	1
complaints	1
offensive	1
disarming	1
defenestration	1
wasnt	1
mentioned	1
experience	1
fought	1
defensively	1
brokenly	1
seeking	1
cardbased	1
small	1
indie	1
ago	1
tarotlike	1
drawn	1
interpreted	1
concepts	1
archtypes	1
direct	1
useful	1
physical	1
space	1
recently	1
moved	1
effective	1
continue	1
roleplayers	1
previous	1
home	1
skype	1
mapping	1
applications	1
techincal	1
sound	1
lighting	1
gameoriented	1
helped	1
ease	1
strangeness	1
without	1
everyone	1
advantage	1
dd4	1
featbased	1
achieve	1
facets	1
stepped	1
local	1
adventure	1
chapters	1
amp	1
happened	1
story	1
aside	1
private	1
sanctuary	1
cover	1
d20	1
